Product,Category,Quantity,Price,Total,Supplier
Apple,Fruit,50,150,7500,Tokyo Foods
Banana,Fruit,80,80,6400,Manila Export
Orange,Fruit,100,100,10000,US Produce
Strawberry,Fruit,30,400,12000,Tokyo Foods
Cabbage,Vegetable,40,120,4800,Beijing Trade
Carrot,Vegetable,60,90,5400,Tokyo Foods
Tomato,Vegetable,45,200,9000,Mexico Fresh
Lettuce,Vegetable,35,130,4550,US Produce
Potato,Vegetable,70,80,5600,Dutch Farms
Milk,Dairy,25,220,5500,Tokyo Foods
Cheese,Dairy,15,450,6750,Paris Dairy
Yogurt,Dairy,40,180,7200,Berlin Dairy
Chicken,Meat,20,350,7000,Brazil Meat
Pork,Meat,18,400,7200,Danish Farms
Beef,Meat,10,800,8000,Aussie Beef
